top_feature,n_top_1pct,n_later_excluded,avg_top_feature_z
opioid_long_acting_share,2252,8.0,3.8079320599292346
fills_per_beneficiary,4458,14.0,2.8550235709764427
industry_payments,1,0.0,3.5553849106901145
