brand_name_key,brand_name,n_paid_prescribers,payment_usd,observed_brand_fills,expected_brand_fills,oe_ratio
TRELEGY ELLIPTA,Trelegy Ellipta,36768.0,8229105.419999994,1939635.500000001,828314.6040828616,2.341665220484229
OZEMPIC,Ozempic,58220.0,8877734.560000004,1372068.299999997,607468.9783496375,2.258663979397946
BREO ELLIPTA,Breo Ellipta,56.0,758.52,4519.0,3387.7225146199125,1.333934518101171
ASMANEX,Asmanex,1045.0,22726.95,63.0,71.82758321412334,0.8771003725990939
CHANTIX,Chantix,406.0,7156.670000000001,220.7,109.71033700000413,2.011660943125092
XARELTO,Xarelto,52345.0,10305677.75999999,3528995.800000002,2619571.081973059,1.3471655051795597
EUCRISA,Eucrisa,8392.0,959639.360000001,1932.7,174.22859152256348,11.092898031892233
PERFOROMIST,Perforomist,4130.0,125020.39000000001,130.0,64.73220697697849,2.0082738727915377
VASCEPA,Vascepa,36382.0,2566600.900000001,1261041.8,215387.2365542756,5.854765677734248
IMBRUVICA,Imbruvica,4666.0,1613383.9000000008,70023.8,53217.981309014634,1.315792111568475
ZTLIDO,Ztlido,4141.0,306792.06000000006,31979.9,876.4513892656611,36.48793349143358
SYNJARDY,Synjardy,9387.0,374037.7500000002,16325.1,5153.061623628912,3.1680389625349497
TROKENDI XR,Trokendi Xr,3764.0,136136.38000000003,13875.500000000002,2524.2486451379386,5.49688321185244
XIFAXAN,Xifaxan,26724.0,2611353.5100000002,87198.40000000001,59839.53510372355,1.4572038343689278
NUCYNTA,Nucynta,469.0,16810.369999999995,3212.1,649.7081183381508,4.943912365164894
JANUMET,Janumet,8527.0,367038.8199999999,145934.49999999997,58630.33993292695,2.489061127173216
VRAYLAR,Vraylar,49531.0,14560595.54,248865.60000000003,47752.37848400396,5.211585430940676
LIVALO,Livalo,15495.0,600501.6799999999,136898.2,22810.57537614037,6.001523317258982
OCALIVA,Ocaliva,3682.0,1044733.5400000003,3813.3,1181.6796921567516,3.2270166148325075
REVLIMID,Revlimid,576.0,45153.7,17618.9,13594.395251686334,1.2960414695765479
NURTEC ODT,Nurtec Odt,37711.0,11684569.420000013,52887.29999999995,9802.991681909562,5.395016308908857
INVEGA TRINZA,Invega Trinza,6017.0,1579267.1099999999,39041.89999999999,6643.236952425442,5.876939251089909
CABENUVA,Cabenuva,2073.0,1246979.4,638.3,31.527532893576648,20.245796020723393
ERIVEDGE,Erivedge,1887.0,384558.23,2155.0,168.2590784090603,12.807629878733243
BEVESPI AEROSPHERE,Bevespi Aerosphere,1036.0,48827.96000000001,3540.6,1913.5433209109813,1.8502847368589623
XALKORI,Xalkori,724.0,30813.899999999994,155.0,58.84780538694307,2.6339130062850367
XIIDRA,Xiidra,6241.0,394800.1900000002,178822.59999999998,50842.574624547044,3.5171822300608584
JYNARQUE,Jynarque,3080.0,885643.5600000002,1078.0,314.1893283103604,3.431052244190602
LYUMJEV,Lyumjev,1275.0,346025.3699999999,201.29999999999998,37.37416264448896,5.386073847722254
ZEJULA,Zejula,1837.0,900910.2300000001,1912.0,628.9023210317024,3.040217750927362
LUPRON DEPOT,Lupron Depot,2718.0,167111.21000000002,3358.799999999999,3926.93591936674,0.8553233536190834
TASIGNA,Tasigna,1553.0,67232.86000000002,3377.6,1715.9841810991506,1.9683165131723555
BINOSTO,Binosto,383.0,9149.210000000001,124.5,2.8336450327256566,43.9363429653871
MYTESI,Mytesi,303.0,62890.96999999999,1075.0,8.050852499567798,133.5262321670544
FLECTOR,Flector,72.0,12809.72,235.0,1.0452467596922996,224.82729347965588
BRAFTOVI,Braftovi,1386.0,292055.76,845.0999999999999,267.74218509808884,3.156394647673443
VIVITROL,Vivitrol,2999.0,553872.56,2760.1,182.73534613372524,15.104357522491386
MULTAQ,Multaq,3925.0,892655.5099999997,102646.50000000001,39477.68703273065,2.600114335849934
SUBLOCADE,Sublocade,2436.0,128150.23999999999,1030.0,35.71122917010975,28.842468431809355
UDENYCA,Udenyca,908.0,288914.6499999998,94.0,34.448661138927655,2.728698210386417
PANZYGA,Panzyga,1783.0,74171.31000000001,1092.1999999999998,397.3020712572782,2.7490417971990166
XYOSTED,Xyosted,5532.0,257042.90999999997,7220.799999999998,490.6226761726241,14.717623849614693
RAYOS,Rayos,2319.0,970025.1300000004,1693.5000000000002,73.31343840791976,23.09944857008723
XYWAV,Xywav,2780.0,883273.68,2536.0,129.5090348905322,19.581645420673233
TROGARZO,Trogarzo,913.0,232854.4,633.9,27.021941966109384,23.45871369256252
RYTARY,Rytary,2312.0,867691.3600000003,95044.19999999998,29346.04192518193,3.2387400059713762
