generic_name_key,generic_name,example_brand_name,n_brand_products,is_single_brand_equivalent,brand_premium_per_fill,n_paid_prescriber_cells,paid_total_fills,observed_brand_fills,expected_brand_fills,net_excess_brand_fills,estimated_savings_usd,savings_rank,share_of_headline_savings
EVEROLIMUS,Everolimus,Afinitor,3,False,6894.373899318917,507.0,9208.300000000001,4019.7,3526.0612932956747,493.6387067043257,3403329.8151958487,,
ROSUVASTATIN CALCIUM,Rosuvastatin Calcium,Crestor,2,False,257.69907473072647,111591.0,27162584.100000042,26509.4,13652.47307530957,12856.926924690431,3313218.1723732892,,
DOXYCYCLINE MONOHYDRATE,Doxycycline Monohydrate,Doxycycline Ir-Dr,2,False,554.1326675362761,14188.0,440692.1000000001,5367.9,1193.6571745778842,4174.242825422116,2313084.311795319,,
DEFERASIROX,Deferasirox,Exjade,3,False,9424.214375328262,336.0,6373.2,675.5,446.6800939968962,228.819906003104,2156447.847515714,,
DICLOFENAC POTASSIUM,Diclofenac Potassium,Cambia,2,False,1064.5361413676787,2708.0,105614.7,2631.2,757.0149642891164,1874.1850357108835,1995137.70612471,,
COLCHICINE,Colchicine,Colcrys,3,False,131.44424011685194,16431.0,549558.0,37018.4,22933.324961295086,14085.075038704921,1851401.9854514063,,
BROMFENAC SODIUM,Bromfenac Sodium,Bromsite,2,False,82.30113506963008,3510.0,286242.4999999999,268289.19999999995,247928.7886302592,20360.4113697407,1675684.9662142613,,
HYDROMORPHONE HCL,Hydromorphone Hcl,Dilaudid,2,False,399.7423470401012,9285.0,379407.49999999994,11301.0,7222.924376753032,4078.0756232469666,1630179.5210437663,,
SILDENAFIL CITRATE,Sildenafil Citrate,Revatio,2,False,3111.1719813253076,8938.0,369191.59999999986,1090.6,652.055151499677,438.544848500323,1364388.4452087574,,
SUMATRIPTAN SUCCINATE,Sumatriptan Succinate,Imitrex,3,False,1354.2660589213378,30173.0,869475.2000000002,1693.1,761.680105942034,931.4198940579658,1261390.3491268125,,
OCTREOTIDE ACETATE,Octreotide Acetate,Bynfezia,3,False,6368.6295459589,151.0,2812.4999999999995,294.0,111.85610992760364,182.1438900723964,1160006.9599309538,,
PREGABALIN,Pregabalin,Lyrica,2,False,576.5513709360574,68944.0,4087736.800000001,33193.9,31469.882870893976,1724.0171291060344,993984.4393033303,,
HYDROCORTISONE,Hydrocortisone,Ala-Scalp,8,False,14.049963471638538,28014.0,1130472.8000000003,124442.09999999999,59179.931686817574,65262.16831318242,916931.0808801395,,
TOBRAMYCIN DEXAMETHASONE,Tobramycin/Dexamethasone,Tobradex,2,False,165.20655191582014,5323.0,214057.10000000006,19544.399999999998,14000.477646247422,5543.922353752572,915892.2961525003,,
