dimension,dimension_value,n_prescribers,n_top_1pct,n_later_exclusions,n_exclusions_in_top_1pct,share_top_1pct
prescriber_specialty,Sports Medicine,734,34.0,0.0,0.0,0.04632152588555858
prescriber_specialty,Geriatric Medicine,1716,1.0,1.0,0.0,0.0005827505827505828
prescriber_specialty,Pharmacist,2040,1.0,0.0,0.0,0.0004901960784313725
prescriber_specialty,Hospice and Palliative Care,645,1.0,0.0,0.0,0.0015503875968992248
prescriber_specialty,Infectious Disease,3954,79.0,2.0,0.0,0.01997976732422863
prescriber_specialty,Osteopathic Manipulative Medicine,347,9.0,0.0,0.0,0.025936599423631124
prescriber_specialty,Pathology,61,0.0,1.0,0.0,0.0
prescriber_specialty,Cardiac Surgery,196,0.0,0.0,0.0,0.0
prescriber_specialty,Neuropsychiatry,880,4.0,1.0,0.0,0.004545454545454545
prescriber_specialty,Hematology,552,1.0,0.0,0.0,0.0018115942028985507
prescriber_specialty,Advanced Heart Failure and Transplant Cardiology,654,1.0,0.0,0.0,0.0015290519877675841
prescriber_specialty,Oral & Maxillofacial Surgery,325,0.0,0.0,0.0,0.0
prescriber_specialty,Diagnostic Radiology,198,7.0,0.0,0.0,0.03535353535353535
prescriber_specialty,Hematopoietic Cell Transplantation and Cellular Therapy,105,0.0,0.0,0.0,0.0
prescriber_specialty,Gynecological Oncology,408,1.0,0.0,0.0,0.0024509803921568627
prescriber_specialty,Surgical Oncology,155,1.0,0.0,0.0,0.0064516129032258064
prescriber_specialty,Peripheral Vascular Disease,44,0.0,0.0,0.0,0.0
prescriber_specialty,Orthopaedic Surgery,128,8.0,0.0,0.0,0.0625
prescriber_specialty,Counselor,27,0.0,0.0,0.0,0.0
prescriber_state,WI,12558,108.0,8.0,0.0,0.008600095556617296
prescriber_state,GA,18707,162.0,11.0,0.0,0.008659859945474956
prescriber_state,UT,4710,60.0,0.0,0.0,0.012738853503184714
prescriber_state,NC,23022,373.0,9.0,1.0,0.016201893840674136
prescriber_state,MN,12335,97.0,2.0,0.0,0.007863802188893394
prescriber_state,KS,5847,80.0,0.0,0.0,0.013682230203523174
prescriber_state,NM,3903,35.0,3.0,0.0,0.008967460927491674
prescriber_state,HI,2372,20.0,2.0,0.0,0.008431703204047217
prescriber_state,AE,26,1.0,0.0,0.0,0.038461538461538464
prescriber_state,ZZ,49,0.0,0.0,0.0,0.0
prescriber_state,ME,3708,31.0,4.0,0.0,0.008360302049622438
prescriber_state,IN,14225,150.0,5.0,1.0,0.01054481546572935
prescriber_state,FL,46386,393.0,45.0,3.0,0.008472383908938041
prescriber_state,PR,6125,33.0,10.0,0.0,0.005387755102040816
prescriber_state,VA,15522,184.0,13.0,1.0,0.011854142507408839
prescriber_state,IL,24451,237.0,13.0,0.0,0.009692855097951003
prescriber_state,CT,9242,98.0,5.0,1.0,0.010603765418740533
prescriber_state,NE,4207,50.0,2.0,0.0,0.01188495364868077
prescriber_state,ID,3466,42.0,2.0,0.0,0.012117714945181766
prescriber_state,LA,10588,95.0,13.0,1.0,0.008972421609369096
prescriber_state,DC,1746,16.0,0.0,0.0,0.009163802978235968
prescriber_state,WV,4544,38.0,2.0,0.0,0.008362676056338027
prescriber_state,VT,1436,6.0,0.0,0.0,0.004178272980501393
prescriber_state,MS,6322,61.0,8.0,0.0,0.009648845302119582
prescriber_state,AR,6254,39.0,3.0,0.0,0.006236008954269267
prescriber_state,AP,16,0.0,0.0,0.0,0.0
prescriber_state,CO,10821,99.0,4.0,0.0,0.009148877183254783
prescriber_state,WA,14677,158.0,10.0,2.0,0.010765142740342033
prescriber_state,MA,18277,155.0,4.0,0.0,0.008480604037861793
prescriber_state,PA,31982,396.0,27.0,0.0,0.012381964855231067
prescriber_state,NH,3454,34.0,2.0,0.0,0.009843659525188187
prescriber_state,MD,11723,121.0,7.0,0.0,0.01032159003668003
prescriber_state,NY,47100,485.0,33.0,1.0,0.01029723991507431
prescriber_state,WY,1014,14.0,0.0,0.0,0.013806706114398421
prescriber_state,IA,6547,82.0,2.0,0.0,0.01252482052848633
prescriber_state,OH,27144,248.0,26.0,2.0,0.009136457412319481
prescriber_state,TX,43907,275.0,53.0,3.0,0.00626323820803061
prescriber_state,MO,13054,83.0,14.0,0.0,0.006358204381798682
prescriber_state,OK,7130,71.0,5.0,0.0,0.009957924263674615
prescriber_state,AZ,13696,164.0,9.0,0.0,0.01197429906542056
prescriber_state,RI,2850,35.0,0.0,0.0,0.012280701754385965
prescriber_state,CA,64934,703.0,85.0,2.0,0.010826377552591863
prescriber_state,MI,22729,261.0,23.0,0.0,0.011483127282326543
prescriber_state,ND,1835,18.0,1.0,0.0,0.009809264305177113
prescriber_state,KY,10631,67.0,14.0,1.0,0.00630232339384818
prescriber_state,TN,15942,215.0,18.0,1.0,0.013486388157069377
