payment_tier,rate_ratio,ci_low,ci_high,p_value,n_prescribers,n_clusters,pct_more
1: $1-99,1.0571554038289672,1.0480484128573235,1.0663415297752363,2.361018433759874e-36,125409,1918,5.715540382896722
2: $100-999,1.144859346242659,1.1309657655566905,1.1589236054674095,1.453459435378911e-104,181691,1918,14.485934624265905
"3: $1,000-9,999",1.2455574201360626,1.2191933136154627,1.2724916299412419,5.251617109949105e-90,66569,1918,24.555742013606263
"4: $10,000+",1.3432171895964413,1.2912406249415662,1.3972859772042958,1.2633418556091373e-48,13079,1918,34.32171895964413
