feature,dev_lift,test_lift,test_events_captured
total_fills,4.34750863280921,3.5989180784282024,14
fills_per_beneficiary,3.726435970979323,2.5706557703058586,10
cost_per_beneficiary,3.105363309149436,1.0282623081223434,4
opioid_long_acting_share,2.4842906473195483,3.5989180784282024,14
industry_payments,1.8632179854896616,2.3135901932752727,9
brand_fill_share,1.2421453236597741,1.5423934621835151,6
cost_per_fill,0.6210726618298871,0.25706557703058586,1
multisource_brand_share,0.0,0.25706557703058586,1
opioid_claim_share,0.0,5.655442694672889,22
