feature,transform,n,coverage,r2_within,residual_scale,beta__bene_avg_risk_score,beta__bene_avg_risk_score__missing,beta__bene_avg_age,beta__dual_eligible_share,beta__dual_eligible_share__missing,beta__lis_claim_share,beta__lis_claim_share__missing,beta__female_share,beta__female_share__missing,beta__is_rural
brand_fill_share,logit,671051,1.0,0.01232991197892186,0.8487480433353997,0.1619534976550095,1.26765372462501,-0.005340336255625617,-0.4660961378975876,-0.17199020416410968,0.34035607951244556,-0.17729283161051673,-0.4382764469746989,-0.1766464983745628,0.024506441944184266
multisource_brand_share,logit,665358,0.9915162930984381,0.011359494917596802,1.0640356501690755,-0.11460457362540948,2.81350569173189,-0.010256957896551804,-0.2440975213316351,-0.0898195410542893,0.22375853130560486,-0.1268824071209246,0.4487345135196142,-0.14824914428664088,0.05921667633065346
cost_per_fill,log,671051,1.0,0.10821971464785385,0.49845653473113577,0.29641214043365277,0.14265727501995207,-0.02925921316991167,-0.28520368457471656,0.02962810281128706,0.42863802951491664,-0.06605717173883394,-0.26349650609558806,-0.06861168937448225,-0.04807104254477838
cost_per_beneficiary,log,669355,0.9974726213059812,0.0742862018136381,0.8383281653196067,0.10687272517334606,1.6653345369377348e-16,-0.01755551870531872,-0.6021130124567237,0.1339320293485263,1.3131790164362558,-0.28327420422963495,-0.5225911483433411,0.09802856314485564,0.05605737900182019
fills_per_beneficiary,log,669355,0.9974726213059812,0.053857518244810665,0.560366560931607,-0.18983501661457197,5.551115123125783e-17,0.011917116166547047,-0.3074778205087696,0.10231061088847632,0.8784479914972482,-0.2152344891141955,-0.2612961985201654,0.15673055457514196,0.10413243880776231
total_fills,log,671051,1.0,0.1515738992035467,1.0192121003129577,-0.36552582964199,-1.2207346681859501,0.04270356253799381,-0.6385086303090125,-0.6693924370866626,0.7624755055687302,-0.31387883444334586,-0.4849455008802898,-0.8761861023487214,0.1697472916409395
opioid_claim_share,logit,537601,0.8011328498132034,0.020491807642117443,0.902759563376786,0.16091225533731918,1.9830829870158766,0.006457897520707732,0.03879885662667566,-0.21025087291173472,-0.30218881923926655,-0.11764478592050069,0.2644719016894906,-0.37281783402379026,0.06689734845475294
opioid_long_acting_share,logit,264526,0.3941965662818474,0.030629780147072072,1.139136223272226,0.33778935555951456,-4.724828373059258,0.02175235312302838,-1.2375501831229405,0.06374033931036005,1.2916124069424049,-0.20589181981255514,-0.10782823844902799,0.01412217979544584,0.22174252815798567
industry_payments,log1p,671051,1.0,0.011624634871535755,3.298450582247588,-0.17064958204850705,1.3351093351704255,-0.02670474883067157,-0.5766753164027901,-0.383227599484482,-0.4313832037973962,-0.11488631343019244,-0.8180156709823643,-0.5659413575111633,-0.27866330964934827
